Unnamed: 0,tz_time,page_uniques,page_views
138.0,2020-05-18 00:00,3912477,8282662
139.0,2020-05-19 00:00,3651704,7943079
140.0,2020-05-20 00:00,4036169,8395604
141.0,2020-05-21 00:00,4281063,8705545
142.0,2020-05-22 00:00,3596951,7298244
143.0,2020-05-23 00:00,2914758,5707737
144.0,2020-05-24 00:00,2790081,5672748
145.0,2020-05-25 00:00,2704249,6370199
146.0,2020-05-26 00:00,2853598,6621827
147.0,2020-05-27 00:00,2989064,6765247
148.0,2020-05-28 00:00,3455764,7782158
149.0,2020-05-29 00:00,3226746,6971614
150.0,2020-05-30 00:00,2670336,5380115
151.0,2020-05-31 00:00,2742317,5517126
152.0,2020-06-01 00:00,3173272,7059907
153.0,2020-06-02 00:00,4010673,8451624
154.0,2020-06-03 00:00,3194571,7217496
155.0,2020-06-04 00:00,3348075,7396888
156.0,2020-06-05 00:00,3012360,6517569
157.0,2020-06-06 00:00,2525458,5237312
158.0,2020-06-07 00:00,2526284,5161745
159.0,2020-06-08 00:00,3182174,7033983
160.0,2020-06-09 00:00,4502606,8747168
161.0,2020-06-10 00:00,3514862,7448960
162.0,2020-06-11 00:00,2938121,6566110
163.0,2020-06-12 00:00,3077520,6490465
164.0,2020-06-13 00:00,3020746,5857943
165.0,2020-06-14 00:00,2982958,5859625
166.0,2020-06-15 00:00,3034044,6712947
167.0,2020-06-16 00:00,2740552,6239233
168.0,2020-06-17 00:00,2688037,6248726
169.0,2020-06-18 00:00,3156119,7332948
170.0,2020-06-19 00:00,4285499,8539898
171.0,2020-06-20 00:00,2815603,5749822
172.0,2020-06-21 00:00,2368260,5072225
173.0,2020-06-22 00:00,3049781,7032632
174.0,2020-06-23 00:00,3200986,7776632
175.0,2020-06-24 00:00,2661905,6428098
176.0,2020-06-25 00:00,3375720,7780797
177.0,2020-06-26 00:00,4466043,10655956
178.0,2020-06-27 00:00,2797871,6151853
179.0,2020-06-28 00:00,2740571,5920166
180.0,2020-06-29 00:00,3138732,7524835
181.0,2020-06-30 00:00,3347872,7394034
182.0,2020-07-01 00:00,3167388,7229070
183.0,2020-07-02 00:00,2853084,6609168
184.0,2020-07-03 00:00,2728913,6254038
185.0,2020-07-04 00:00,2392233,4987669
186.0,2020-07-05 00:00,2789595,5469908
187.0,2020-07-06 00:00,3124079,6490527
188.0,2020-07-07 00:00,2977746,6603019
189.0,2020-07-08 00:00,3197250,7277531
190.0,2020-07-09 00:00,2991478,6894427
191.0,2020-07-10 00:00,2387885,5414930
192.0,2020-07-11 00:00,2117859,4411536
193.0,2020-07-12 00:00,2488479,5151158
194.0,2020-07-13 00:00,2880940,6730286
195.0,2020-07-14 00:00,2674531,6251609
196.0,2020-07-15 00:00,2359121,5699513
197.0,2020-07-16 00:00,2191027,5550871
198.0,2020-07-17 00:00,2405136,5654497
199.0,2020-07-18 00:00,2347772,4735768
200.0,2020-07-19 00:00,2898879,5687233
201.0,2020-07-20 00:00,3339293,7307791
202.0,2020-07-21 00:00,2862584,6528168
203.0,2020-07-22 00:00,2779444,6539143
204.0,2020-07-23 00:00,2550286,5963949
205.0,2020-07-24 00:00,2500281,5849485
206.0,2020-07-25 00:00,2081198,4377824
207.0,2020-07-26 00:00,2308834,4914376
0.0,2020-07-27 00:00,2408279,5893688
1.0,2020-07-28 00:00,2365115,5899882
2.0,2020-07-29 00:00,2659408,6311216
3.0,2020-07-30 00:00,3243044,7138855
4.0,2020-07-31 00:00,2764473,5911001
5.0,2020-08-01 00:00,2546375,4935830
6.0,2020-08-02 00:00,3907958,7186348
7.0,2020-08-03 00:00,3664489,7525516
8.0,2020-08-04 00:00,3590794,7518721
,2020-08-05 00:00,3732902,7597180
